step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right,ref_x,ref_y
90,3.6000,0.4457,0.0000,0.4358,0.4827,-0.0026,0.0243,0.0013,-0.0096,0.4562,0.5111,0.4487,0.2227,0.00712,-0.01287,0.0058,-0.1245,-0.0738,-0.0001,-0.00767,-0.00069,0.5284,0.9891
91,3.6400,0.4462,0.0000,0.4210,0.4918,-0.0085,0.0294,0.0303,-0.0924,0.4409,0.5250,0.4621,0.2221,0.00558,-0.01195,-0.0181,-0.0967,-0.0992,0.0254,-0.00683,0.00057,0.5340,0.9981
92,3.6800,0.4467,0.0000,0.4046,0.4960,0.0089,0.0412,-0.0539,-0.0608,0.4172,0.5389,0.4761,0.2220,0.00202,-0.01213,0.0032,-0.1264,-0.0836,-0.0377,-0.00493,-0.00010,0.5396,1.0070
93,3.7200,0.4471,0.0000,0.3870,0.4892,-0.0176,0.0417,0.0765,0.1780,0.3630,0.5526,0.4902,0.2222,0.00666,-0.01129,-0.0461,-0.0989,-0.1321,0.0493,-0.00516,0.00406,0.5452,1.0159
94,3.7600,0.4473,0.0000,0.3686,0.5069,0.0037,0.0679,-0.0265,-0.0421,0.3089,0.5665,0.5047,0.2227,0.00721,-0.00941,0.0312,-0.1400,-0.0816,0.0152,-0.00685,0.00025,0.5508,1.0247
95,3.8000,0.4471,0.0000,0.3498,0.5126,0.0104,0.0452,-0.0581,-0.0702,0.2539,0.5798,0.5200,0.2234,0.00542,-0.01216,0.0264,-0.0969,-0.0808,0.0082,-0.00537,0.00155,0.5564,1.0334
96,3.8400,0.4465,0.0000,0.3310,0.5141,-0.0132,0.0255,0.0541,-0.0054,0.3806,0.5934,0.5353,0.2232,0.00476,-0.01165,-0.0120,-0.0987,-0.1209,0.0279,-0.00591,0.00468,0.5619,1.0420
97,3.8800,0.4455,0.0000,0.3119,0.5249,-0.0037,0.0297,0.0103,-0.1360,0.3096,0.6073,0.5508,0.2227,0.00072,-0.00915,0.0109,-0.1025,-0.0842,0.0137,-0.00323,0.00361,0.5675,1.0506
98,3.9200,0.4441,0.0000,0.2924,0.5194,0.0079,0.0451,-0.0465,0.0416,0.3016,0.6205,0.5669,0.2228,-0.00012,-0.01018,0.0062,-0.1127,-0.1097,-0.0092,0.00029,0.00619,0.5731,1.0592
99,3.9600,0.4425,0.0000,0.2727,0.5270,0.0084,0.0312,-0.0506,-0.0588,0.3212,0.6334,0.5833,0.2228,-0.00070,-0.01361,0.0035,-0.1113,-0.1018,-0.0083,-0.00270,0.00547,0.5786,1.0676
100,4.0000,0.4405,0.0000,0.2528,0.5350,0.0005,0.0264,-0.0105,-0.1701,0.3123,0.6464,0.6001,0.2225,-0.00578,-0.01546,0.0182,-0.0953,-0.0844,0.0252,-0.00166,0.00755,0.5841,1.0760
101,4.0400,0.4382,0.0000,0.2327,0.5358,-0.0076,0.0405,0.0310,-0.1578,0.2480,0.6595,0.6168,0.2225,-0.01162,-0.01446,0.0316,-0.0844,-0.1118,0.0237,0.00036,0.01215,0.5896,1.0844
102,4.0800,0.4355,0.0000,0.2127,0.5307,0.0039,0.0420,-0.0247,-0.0546,0.2479,0.6724,0.6337,0.2231,-0.01581,-0.01407,0.0253,-0.1159,-0.1063,-0.0295,0.00347,0.01154,0.5952,1.0926
103,4.1200,0.4326,0.0000,0.1928,0.5256,0.0135,0.0354,-0.0704,0.0051,0.1791,0.6846,0.6508,0.2235,-0.01653,-0.01786,0.0408,-0.1096,-0.0910,0.0300,0.00557,0.01175,0.6007,1.1008
104,4.1600,0.4293,0.0000,0.1733,0.5313,-0.0048,0.0145,0.0172,-0.1513,0.2376,0.6968,0.6680,0.2233,-0.01923,-0.02014,0.0099,-0.0968,-0.1131,0.0036,0.00238,0.01065,0.6062,1.1089
105,4.2000,0.4257,0.0000,0.1542,0.5353,-0.0157,0.0240,0.0719,-0.2836,0.2443,0.7095,0.6850,0.2231,-0.02863,-0.01681,0.0265,-0.1040,-0.1142,0.0353,0.00474,0.01101,0.6116,1.1170
