step,time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,pos_x,pos_y,pos_z,pitch_rad,roll_rad,action_0,action_1,action_2,action_3,lqr_left,lqr_right
99,3.9600,0.5370,0.0000,0.0102,0.4487,-0.0278,-0.0242,0.1327,-0.0645,0.0861,-28.6756,-74.7759,0.6533,-0.01951,2.96917,0.0186,-0.1288,-0.0864,0.0731,0.03593,-0.02582
100,4.0000,0.5370,0.0000,0.0102,0.4383,-0.0459,0.0192,0.2239,-0.0146,0.1099,-28.6859,-74.7613,0.6518,-0.02288,2.95577,0.0150,-0.1717,-0.0574,-0.1252,0.03613,-0.02596
101,4.0400,0.5370,0.0000,0.0102,0.4184,0.0188,0.0341,-0.0896,0.1603,-0.1148,-28.6968,-74.7479,0.6519,-0.02046,2.95091,0.0137,-0.1962,-0.0073,-0.1440,0.04092,-0.02930
102,4.0800,0.5370,0.0000,0.0102,0.4091,0.0177,0.0184,-0.0894,0.1137,-0.0253,-28.7083,-74.7361,0.6518,-0.01325,2.95603,0.0003,-0.1654,-0.0385,-0.0691,0.03576,-0.03080
103,4.1200,0.5370,0.0000,0.0102,0.4074,-0.0173,0.0266,0.0848,-0.0157,0.0190,-28.7190,-74.7237,0.6513,-0.01153,2.95437,0.0088,-0.1612,-0.0613,-0.0455,0.03241,-0.02897
104,4.1600,0.5370,0.0000,0.0102,0.3953,0.0091,0.0462,-0.0427,0.0807,-0.0880,-28.7292,-74.7112,0.6514,-0.01070,2.95073,0.0400,-0.1815,-0.0179,-0.1313,0.03439,-0.03014
105,4.2000,0.5370,0.0000,0.0102,0.3796,0.0198,0.0266,-0.0968,0.2304,-0.0877,-28.7399,-74.6998,0.6516,-0.00286,2.95364,0.0036,-0.1713,-0.0251,-0.1059,0.03124,-0.03021
106,4.2400,0.5370,0.0000,0.0102,0.3752,0.0024,0.0265,-0.0130,0.2039,-0.0228,-28.7501,-74.6886,0.6510,0.00617,2.95536,0.0059,-0.1701,-0.0324,-0.0671,0.02481,-0.03125
107,4.2800,0.5370,0.0000,0.0102,0.3793,-0.0013,0.0519,0.0061,0.0488,-0.0254,-28.7600,-74.6770,0.6509,0.01037,2.95403,0.0243,-0.1800,-0.0302,-0.0790,0.02184,-0.03280
108,4.3200,0.5370,0.0000,0.0102,0.3796,-0.0080,0.0620,0.0436,-0.0097,-0.0805,-28.7696,-74.6652,0.6516,0.01137,2.95084,0.0129,-0.1804,-0.0572,-0.0698,0.02136,-0.03308
109,4.3600,0.5370,0.0000,0.0102,0.3799,0.0199,0.0291,-0.0986,-0.0514,-0.0605,-28.7795,-74.6537,0.6519,0.00963,2.95032,0.0426,-0.1712,0.0115,-0.1376,0.02339,-0.03403
110,4.4000,0.5370,0.0000,0.0102,0.3705,0.0341,0.0061,-0.1680,0.2108,-0.2167,-28.7901,-74.6430,0.6508,0.01526,2.95638,0.0208,-0.1658,-0.0381,-0.0657,0.02220,-0.02998
111,4.4400,0.5370,0.0000,0.0102,0.3930,0.0131,0.0093,-0.0665,0.0487,-0.1252,-28.8007,-74.6319,0.6496,0.02157,2.96158,0.0042,-0.1571,-0.0908,-0.0110,0.01419,-0.02962
112,4.4800,0.5370,0.0000,0.0102,0.4307,-0.0044,-0.0071,0.0252,-0.2820,-0.0124,-28.8113,-74.6193,0.6480,0.01569,2.96025,-0.0154,-0.1533,-0.1583,0.0419,0.01197,-0.02854
113,4.5200,0.5370,0.0000,0.0102,0.4337,0.0529,-0.0322,-0.2597,0.0488,0.0499,-28.8230,-74.6066,0.6458,0.01174,2.96535,-0.0079,-0.1726,-0.2089,0.0366,0.01580,-0.02448
